gmgoCd,gmgoNm,location,MG더뱅킹정기예금,MG더뱅킹정기적금,MG더뱅킹자유적금,기준일
0101,청운효자동,서울 종로구,4.70,,,2023/07/28
0102,광화문,서울 종로구,4.70,,,2023/07/28
0103,사직동,서울 종로구,4.50,4.10,4.00,2023/07/28
0104,삼청,서울 종로구,4.00,4.40,3.95,2023/07/28
0105,세검정,서울 종로구,4.50,4.00,3.50,2023/07/28
0106,종로서부,서울 종로구,3.50,,,2023/07/28
0107,교남동,서울 종로구,5.00,3.20,2.57,2023/07/28
0108,인사동길,서울 종로구,2.20,2.30,,2023/07/28
0109,종로3.4가,서울 종로구,4.00,4.10,2.90,2023/07/28
0113,대학로,서울 종로구,4.70,,,2023/07/28
0116,명륜,서울 종로구,5.10,4.60,4.00,2023/07/28
0118,종로중앙,서울 종로구,5.10,4.90,2.44,2023/07/28
0119,종로동부,서울 종로구,4.20,4.10,4.10,2023/07/28
0121,종로숭인,서울 종로구,4.70,4.10,3.60,2023/07/28
0122,강북삼성병원,서울 종로구,,,,2023/07/28
0123,행정안전부,세종 ,3.70,3.90,3.40,2023/07/28
0128,서울대학교병원,서울 종로구,,,,2023/07/28
0137,동대문상가,서울 종로구,,,,2023/07/28
0139,종로제일,서울 종로구,4.70,4.60,2.44,2023/07/28
0141,종로중부,서울 종로구,,,,2023/07/28
0142,종로광장,서울 종로구,4.60,,,2023/07/28
0203,회현동,서울 중구,4.60,4.20,3.00,2023/07/28
0204,명동,서울 중구,3.90,4.30,3.20,2023/07/28
0206,필동,서울 중구,4.10,4.30,3.50,2023/07/28
0208,신당1.2.3동,서울 중구,5.12,5.00,4.00,2023/07/28
0210,청구동,서울 중구,5.12,5.00,4.00,2023/07/28
0212,동화동,서울 중구,4.50,4.30,2.68,2023/07/28
0213,신당황학,서울 중구,4.80,3.90,2.90,2023/07/28
0215,중림.만리,서울 중구,4.35,4.55,4.01,2023/07/28
0224,롯데쇼핑,서울 중구,,,,2023/07/28
0225,호텔롯데,서울 중구,,,,2023/07/28
0233,호텔신라,서울 중구,,,,2023/07/28
0250,평화,서울 중구,4.10,,,2023/07/28
0252,청계,서울 중구,4.50,5.00,2.50,2023/07/28
0254,남대문,서울 중구,5.10,4.50,2.50,2023/07/28
0301,후암동,서울 용산구,4.67,4.80,4.00,2023/07/28
0303,용산,서울 용산구,4.20,4.30,4.00,2023/07/28
0304,청파,서울 용산구,5.24,5.20,2.98,2023/07/28
0306,원효,서울 용산구,5.10,4.60,3.70,2023/07/28
0307,효창,서울 용산구,4.10,4.00,3.20,2023/07/28
0308,용문동,서울 용산구,3.80,4.00,3.60,2023/07/28
0310,한강2동,서울 용산구,4.70,4.30,4.20,2023/07/28
0311,한강로3가,서울 용산구,5.05,,,2023/07/28
0312,이촌,서울 용산구,4.50,4.30,3.80,2023/07/28
0313,이태원1동,서울 용산구,4.50,4.50,3.00,2023/07/28
0314,이태원2동,서울 용산구,4.20,,,2023/07/28
0315,한남동,서울 용산구,4.80,4.00,3.60,2023/07/28
0316,서빙고동,서울 용산구,5.15,5.00,2.80,2023/07/28
0317,보광동,서울 용산구,4.70,4.80,4.20,2023/07/28
0325,씨제이제일제당,서울 중구,,,,2023/07/28
0329,녹번동,서울 은평구,4.90,4.70,3.20,2023/07/28
0330,서울은평,서울 은평구,4.30,4.10,4.00,2023/07/28
0331,갈현동,서울 은평구,4.90,4.50,4.00,2023/07/28
0332,구산동,서울 은평구,4.70,4.00,4.00,2023/07/28
0334,e-푸른,서울 은평구,4.70,4.70,4.30,2023/07/28
0337,은평,서울 은평구,4.90,4.70,4.50,2023/07/28
0339,우리들,서울 은평구,4.90,4.50,2.40,2023/07/28
0340,연신내,서울 은평구,4.40,4.20,4.20,2023/07/28
0342,은평뉴타운,서울 은평구,4.20,4.20,4.10,2023/07/28
0402,독립문,서울 서대문구,3.80,4.00,3.70,2023/07/28
0407,신촌,서울 서대문구,4.40,3.80,3.60,2023/07/28
0408,연희,서울 서대문구,4.90,4.30,3.70,2023/07/28
0411,홍제,서울 서대문구,4.00,4.50,3.80,2023/07/28
0413,홍은,서울 서대문구,4.75,4.20,4.00,2023/07/28
0416,가재울,서울 서대문구,,,,2023/07/28
0417,서서울,서울 서대문구,4.72,4.00,3.60,2023/07/28
0418,명지,서울 서대문구,,,,2023/07/28
0419,삼성에스디에스,서울 송파구,3.50,,,2023/07/28
0423,아현,서울 마포구,4.30,4.30,4.00,2023/07/28
0424,마포중앙,서울 마포구,4.50,4.50,4.30,2023/07/28
0427,신공덕동,서울 마포구,4.20,4.50,,2023/07/28
0428,신마포,서울 마포구,3.90,4.20,3.80,2023/07/28
0429,마포역,서울 마포구,3.00,,,2023/07/28
0434,망원,서울 마포구,4.30,4.50,4.30,2023/07/28
0436,성암,서울 마포구,4.00,4.00,3.70,2023/07/28
0441,이랜드,서울 금천구,3.50,3.50,3.50,2023/07/28
0447,마포공덕,서울 마포구,3.90,4.00,4.00,2023/07/28
0504,동대문중앙,서울 동대문구,4.75,,,2023/07/28
0507,전농동,서울 동대문구,4.10,4.50,,2023/07/28
0509,배봉,서울 동대문구,4.30,4.20,4.00,2023/07/28
0511,답십리,서울 동대문구,4.90,3.50,1.60,2023/07/28
0517,회기휘경,서울 동대문구,4.20,4.20,2.50,2023/07/28
0518,더좋은,서울 동대문구,5.02,1.50,1.40,2023/07/28
0519,이문.휘경동,서울 동대문구,4.40,4.40,4.20,2023/07/28
0522,경희의료원,서울 동대문구,,,,2023/07/28
0525,전택,서울 동대문구,4.50,,4.00,2023/07/28
0527,중랑서부,서울 중랑구,4.50,4.00,3.50,2023/07/28
0528,사가정,서울 중랑구,4.10,1.80,1.10,2023/07/28
